"topic","question","format","optionA","optionB","optionC","optionD","correctAnswer","marks","negativeMarks","timeLimitSec","difficulty","tags","explanation","syllabusVersion","objectiveCode","answerValidationMethod","answerValidationReference","distractorReviewNote"
"Processes and services","Which command asks systemd for the current state and recent status information of nginx.service?","mcq_single","journalctl --vacuum nginx.service","systemctl status nginx.service","systemctl enable nginx.service","service --create nginx.service","B","1","0","60","easy","linux,systemd,status","systemctl status introspects a unit and normally includes its active state and recent log context.","OCT-GLDW-2026.1","GLDW-PSV-05","primary_source","https://www.freedesktop.org/software/systemd/man/latest/systemctl.html#status%20PATTERN%E2%80%A6","Author checked all three distractors against GLDW-PSV-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","What is the distinction between systemctl start and systemctl enable for a service?","mcq_single","There is no distinction","start installs it; enable downloads its source","start activates it now; enable configures activation for appropriate future boot targets","start shows logs; enable deletes logs","C","1","0","75","medium","linux,systemd,services","Starting changes current runtime state, while enabling establishes the configured boot-time links or equivalent activation policy.","OCT-GLDW-2026.1","GLDW-PSV-06","primary_source","https://www.freedesktop.org/software/systemd/man/latest/systemctl.html#start%20PATTERN%E2%80%A6","Author checked all three distractors against GLDW-PSV-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","Which command follows new journal entries for api.service as they arrive?","mcq_single","systemctl enable api.service -f","journalctl -u api.service -f","tail -u api.service /proc","ps -f api.service --journal","B","1","0","75","medium","linux,journalctl,logs","journalctl filters by unit with -u and follows appended entries with -f.","OCT-GLDW-2026.1","GLDW-PSV-07","primary_source","https://www.freedesktop.org/software/systemd/man/latest/journalctl.html","Author checked all three distractors against GLDW-PSV-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","A service repeatedly crashes after launch. Which evidence should be inspected first?","mcq_single","Only the server's wallpaper settings","A random process ID from another host","The Git commit author email alone","Its status and recent service logs, including the first reported failure","D","1","0","60","easy","linux,troubleshooting,services,logs","Service state and timestamped logs provide direct evidence about startup commands, exit codes and the earliest causal error.","OCT-GLDW-2026.1","GLDW-PSV-08","primary_source","https://www.freedesktop.org/software/systemd/man/latest/systemctl.html#status%20PATTERN%E2%80%A6","Author checked all three distractors against GLDW-PSV-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","What does the process ID returned by echo $! represent after starting one background pipeline from Bash?","mcq_single","The last foreground command's exit status","The current shell's user ID","The process ID associated with the most recently started asynchronous job","The number of files opened by the job","C","1","0","90","hard","linux,bash,pid,jobs","Bash stores the process ID of the most recently started asynchronous command in the ! parameter.","OCT-GLDW-2026.1","GLDW-PSV-09","primary_source","https://www.gnu.org/software/bash/manual/html_node/Special-Parameters.html","Author checked all three distractors against GLDW-PSV-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","Which command displays memory use statistics, including available memory, in human-readable units on typical Linux systems?","mcq_single","chmod -h","df -h","uname -h","free -h","D","1","0","60","easy","linux,memory,monitoring","free reads kernel memory accounting and -h formats values in human-readable units.","OCT-GLDW-2026.1","GLDW-PSV-10","primary_source","https://man7.org/linux/man-pages/man1/free.1.html","Author checked all three distractors against GLDW-PSV-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which command recursively searches the current tree for the fixed text timeout and includes matching line numbers?","mcq_single","cat -R timeout .","find timeout -lines .","grep -R -n -F timeout .","sed --tree timeout .","C","1","0","75","medium","linux,grep,search","grep -R recurses, -n prints line numbers, and -F treats the pattern as fixed text.","OCT-GLDW-2026.1","GLDW-TSP-01","primary_source","https://www.gnu.org/software/grep/manual/grep.html#Invoking-grep","Author checked all three distractors against GLDW-TSP-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which find command selects regular files under logs whose names end in .log?","mcq_single","find logs -type f -name '*.log'","find logs -type d -name '*.log'","grep logs --files '.log'","ls logs -content '*.log'","A","1","0","75","medium","linux,find,search","find evaluates each path; -type f restricts results to regular files and -name matches the basename pattern.","OCT-GLDW-2026.1","GLDW-TSP-02","primary_source","https://www.gnu.org/software/findutils/manual/html_mono/find.html#Primary-Index","Author checked all three distractors against GLDW-TSP-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","What does sort names.txt | uniq produce when duplicate names are identical lines?","mcq_single","The number of characters in each name","Only lines that were already unique before sorting","One copy of each line in sorted order","A file with duplicates added","C","1","0","60","easy","linux,sort,uniq,pipeline","Sorting makes equal lines adjacent, and uniq then collapses each adjacent run to one line.","OCT-GLDW-2026.1","GLDW-TSP-03","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/uniq-invocation.html","Author checked all three distractors against GLDW-TSP-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which command counts the number of lines read from access.log?","mcq_single","stat -l access.log","wc -l access.log","head -l access.log","grep -l access.log","B","1","0","60","easy","linux,wc,text","wc -l reports newline counts, conventionally used as a line count for text files.","OCT-GLDW-2026.1","GLDW-TSP-04","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/wc-invocation.html","Author checked all three distractors against GLDW-TSP-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which command prints the first 20 lines of server.log?","mcq_single","head -n 20 server.log","tail -n 20 server.log","cut -n 20 server.log","less -n 20 server.log","A","1","0","60","easy","linux,head,logs","head selects the beginning of input; -n 20 requests twenty lines.","OCT-GLDW-2026.1","GLDW-TSP-05","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/head-invocation.html","Author checked all three distractors against GLDW-TSP-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which command follows appended lines in app.log until interrupted?","mcq_single","head -f app.log","cat -r app.log","tail -f app.log","wc -f app.log","C","1","0","60","easy","linux,tail,logs","tail -f keeps the file open and emits data as it grows.","OCT-GLDW-2026.1","GLDW-TSP-06","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/tail-invocation.html","Author checked all three distractors against GLDW-TSP-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","A comma-separated file has a simple header and no quoted commas. Which command extracts its third field from each line?","mcq_single","head -d',' -f3 file.csv","sort -d',' -f3 file.csv","cut -d',' -f3 file.csv","wc -d',' -f3 file.csv","C","1","0","75","medium","linux,cut,text","cut uses -d to choose the delimiter and -f to select fields; complex CSV requires a real CSV parser.","OCT-GLDW-2026.1","GLDW-TSP-07","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/cut-invocation.html","Author checked all three distractors against GLDW-TSP-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","What does tee result.txt do in command | tee result.txt | next?","mcq_single","Sends input only to standard error","Reads result.txt and discards pipeline input","Copies its input to result.txt and also passes it to standard output","Encrypts result.txt before next runs","C","1","0","75","medium","linux,tee,pipeline","tee duplicates the incoming stream to named files and its standard output, allowing observation or capture mid-pipeline.","OCT-GLDW-2026.1","GLDW-TSP-08","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/tee-invocation.html","Author checked all three distractors against GLDW-TSP-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Why can grep 'pattern' *.log fail with an argument-list error in a directory containing extremely many matching filenames?","mcq_single","The shell expands the wildcard before grep starts, potentially exceeding the system argument-size limit","grep can read only one file per invocation","The quotes disable grep's regular expression engine","Linux prohibits wildcard use with log files","A","1","0","90","hard","linux,shell,globbing,grep","Pathname expansion is performed by the shell and all expanded names become process arguments, which have a system size limit.","OCT-GLDW-2026.1","GLDW-TSP-09","primary_source","https://www.gnu.org/software/bash/manual/html_node/Filename-Expansion.html","Author checked all three distractors against GLDW-TSP-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Text, search and pipelines","Which pipeline prints the five most frequent exact lines in events.txt with counts, highest first?","mcq_single","sort events.txt | uniq -c | sort -nr | head -n 5","uniq events.txt | wc -l | tail -n 5","head -n 5 events.txt | sort -u","sort -r events.txt | cut -c 5","A","1","0","90","hard","linux,sort,uniq,pipeline","The first sort groups equal lines, uniq -c counts them, numeric reverse sort ranks the counts, and head selects five.","OCT-GLDW-2026.1","GLDW-TSP-10","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/sort-invocation.html","Author checked all three distractors against GLDW-TSP-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A command works interactively but fails from a scheduled job with command not found. What should be checked first?","mcq_single","The job's PATH and use of explicit executable paths","The monitor's screen resolution","The Git branch name on a laptop","The file's creation month","A","1","0","75","medium","linux,path,automation,troubleshooting","Noninteractive jobs often receive a smaller environment, so PATH differences commonly explain executable lookup failures.","OCT-GLDW-2026.1","GLDW-OTR-01","primary_source","https://www.gnu.org/software/bash/manual/html_node/Command-Search-and-Execution.html","Author checked all three distractors against GLDW-OTR-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","An application reports permission denied opening /srv/app/config.yml. Which sequence is safest?","mcq_single","Disable authentication in the application","Inspect each path component's ownership and mode before making the smallest necessary permission change","Delete and recreate the entire /srv tree","Immediately run chmod -R 777 /srv","B","1","0","90","medium","linux,permissions,troubleshooting,safety","Evidence-driven inspection avoids broad permissions that expose unrelated data; directory traversal and file access both matter.","OCT-GLDW-2026.1","GLDW-OTR-02","primary_source","https://man7.org/linux/man-pages/man7/path_resolution.7.html","Author checked all three distractors against GLDW-OTR-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","Disk space is nearly exhausted. Which pair best distinguishes filesystem capacity from per-directory usage?","mcq_single","Use chmod for capacity and chown for usage","Use ps for capacity and kill for usage","Use df for filesystem capacity and du for directory/file usage","Use git status for capacity and git diff for usage","C","1","0","75","medium","linux,storage,df,du","df reports filesystem-level allocation, while du totals space attributable to selected paths.","OCT-GLDW-2026.1","GLDW-OTR-03","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/df-invocation.html","Author checked all three distractors against GLDW-OTR-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A log-processing pipeline produced no output. What is the most informative first diagnostic?","mcq_single","Add sudo to every stage","Run and inspect each stage with a small known input, checking exit status and stderr","Delete all source logs","Repeat the pipeline indefinitely without changes","B","1","0","75","medium","linux,pipeline,troubleshooting","Isolating stages reveals the first incorrect assumption or failure while preserving error evidence.","OCT-GLDW-2026.1","GLDW-OTR-04","primary_source","https://www.gnu.org/software/bash/manual/html_node/Pipelines.html","Author checked all three distractors against GLDW-OTR-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A deployment script must stop if a critical command fails. Which approach directly checks that command's result?","mcq_single","Assume every command returns success","Check whether the command printed any text","Use an explicit if condition or an && chain around the critical command","Run the critical command only in the background","C","1","0","75","medium","linux,bash,exit-status,automation","Shell control flow should respond to the command's exit status; output presence is not a reliable success signal.","OCT-GLDW-2026.1","GLDW-OTR-05","primary_source","https://www.gnu.org/software/bash/manual/html_node/Lists.html","Author checked all three distractors against GLDW-OTR-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","After editing a systemd unit file on disk, which command tells the manager to reload unit definitions?","mcq_single","systemctl daemon-reload","systemctl reload-daemon.service","journalctl --reload","service daemon --install","A","1","0","75","medium","linux,systemd,configuration","daemon-reload makes systemd reread unit files; restarting or reloading the affected service is a separate action.","OCT-GLDW-2026.1","GLDW-OTR-06","primary_source","https://www.freedesktop.org/software/systemd/man/latest/systemctl.html#daemon-reload","Author checked all three distractors against GLDW-OTR-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A TCP client receives connection refused immediately. Which condition is most consistent with that response?","mcq_single","DNS always returned an IPv6 address","The destination was reachable but no service accepted the connection on that address and port, or a firewall actively rejected it","The local disk is full in every case","Git has an unresolved merge conflict","B","1","0","90","hard","linux,networking,troubleshooting","Refusal indicates an active negative response, commonly because nothing is listening or a policy rejects the connection; timeout suggests a different path.","OCT-GLDW-2026.1","GLDW-OTR-07","primary_source","https://man7.org/linux/man-pages/man2/connect.2.html","Author checked all three distractors against GLDW-OTR-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A script passes an unchecked TARGET variable to rm -rf and TARGET may be empty. Which preventive control is strongest before removal?","mcq_single","Validate that TARGET is nonempty and matches an allowed base path, then quote it","Remove the quotes so the shell can decide","Run the script as root to avoid errors","Suppress standard error","A","1","0","90","hard","linux,bash,rm,safety","Destructive scripts should enforce path invariants and quote expansions; privilege and suppressed errors increase risk.","OCT-GLDW-2026.1","GLDW-OTR-08","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/rm-invocation.html","Author checked all three distractors against GLDW-OTR-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","An engineer needs to share diagnostic output that may contain tokens. What should happen before attaching it to a ticket?","mcq_single","Replace all error messages with success messages","Review and redact secrets while retaining timestamps, errors and relevant context","Post the complete environment immediately","Delete timestamps and component names","B","1","0","60","easy","linux,logs,security,troubleshooting","Useful evidence can be preserved while credentials, tokens and personal data are removed according to policy.","OCT-GLDW-2026.1","GLDW-OTR-09","primary_source","https://www.freedesktop.org/software/systemd/man/latest/systemd.exec.html#Credentials","Author checked all three distractors against GLDW-OTR-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Operational troubleshooting","A production command could modify many files. Which workflow best reduces risk?","mcq_single","Combine it with unrelated cleanup commands","Preview the exact target set, test on a safe subset or dry run, back up where needed, then execute with verification","Hide its output and skip validation","Run it as root from an unreviewed chat snippet","B","1","0","75","medium","linux,operations,safety","Constrained scope, preview, recovery planning and post-action verification reduce both likelihood and impact of mistakes.","OCT-GLDW-2026.1","GLDW-OTR-10","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/rm-invocation.html","Author checked all three distractors against GLDW-OTR-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
